UID,Name,Link (only from pdb),CID,Source,Description (only from pdb),Event Childhood,Event Teenage,Event Pre-Hero,Event Hero (1),Event Hero (2),Event Hero (3),Dilemma(1) Save One or Save Many,Dilemma (2) Hero or Villain?,Dilemma(3) Reveal Identity or Protect Loved Ones,Dilemma(4) Join or Fight Against the Government,True event,Human label,annotation
1,Tony Stark “Iron Man”,https://www.personality-database.com/profile/148/tony-stark-iron-man-mcu-the-heroes-mbti-personality-type,148,"['MCU: The Heroes', 'Wreck-It Ralph (Franchise)']","Tony Stark was a character portrayed by #RobertDowneyJr. in the Marvel Cinematic Universe (MCU) film franchise, based on the Marvel Comics character of the same name and known commonly by his alter ego, Iron Man. In the films, Stark was an industrialist, genius inventor, hero, and former playboy who was the CEO of Stark Industries before handing it over to his wife Pepper Potts.",,,,,,,,,,,,,
1,Tony Stark “Iron Man”,https://www.personality-database.com/profile/1982/tony-stark-iron-man-marvel-comics-mbti-personality-type,1982,"['Marvel Comics', 'Marvel vs. Capcom']","Iron Man (Anthony Edward ""Tony"" Stark) is a fictional superhero appearing in American comic books published by Marvel Comics. The character was co-created by writer and editor Stan Lee, developed by scripter Larry Lieber, and designed by artists Don Heck and Jack Kirby. The character made his first appearance in Tales of Suspense #39 (cover dated March 1963), and received his own title in Iron Man #1 (May 1968).",,,,,,,,,,,,,
1,Tony Stark,https://www.personality-database.com/profile/376301/tony-stark-what-if-2021-mbti-personality-type,376301,['What If...? (2021)'],"Anthony Edward ""Tony"" Stark was a billionaire industrialist and the CEO of Stark Industries who was attacked by the Ten Rings in Afghanistan and saved by Erik Killmonger. Stark befriended Killmonger out of gratitude and worked with him, although he was later betrayed and murdered by Killmonger.

Tony Stark in Episode 6 of What If.

#WhatIfShow #WhatIfMarvel #MickWingert #TonyStark #AnthonyEdwardStark",,,,,,,,,,,,,
2,Spider-Man_2589.json,https://www.personality-database.com/profile/2589/peter-parker-spiderman-mcu-the-heroes-mbti-personality-type,2589,"['MCU: The Heroes', 'Spider-Man : No Way Home']","After getting bitten by a scientifically-altered spider, Peter Parker gained the ability to crawl on walls and sense nearby threats, along with enhanced strength and agility. When his uncle was killed by a criminal, he learned that With Great Power Comes Great Responsibility and vowed to use his abilities to protect others as the superhero Spider-Man... All of which has happened offscreen by the time we actually meet him.

A few months later, Spider-Man was drafted into a conflict between the Avengers by Iron Man, gaining a new suit in the process. While seeking to prove that he's good enough to join the Avengers, Peter was able to take on a smaller threat on his own, proving his worth. However, Peter ultimately turned down the offer to become an Avenger, realizing that he can do more good in New York City, an area that the Avengers can't usually cover. But when an alien invasion threatens New York once again, Spider-Man is officially inducted into their ranks by Iron Man.",,,,,,,,,,,,,
2,Spider-Man_920.json,https://www.personality-database.com/profile/920/peter-parker-spiderman-the-amazing-spiderman-duology-mbti-personality-type,920,"['The Amazing Spider-Man Duology', 'MCU: The Heroes']","Peter Benjamin Parker is the superhero vigilante known as “Spider-Man” and the son of Richard and Mary Parker. Orphaned at the age of five, Peter was raised by his aunt and uncle over the course of the next few years. Parker's search for answers about the mystery of his parents and their deaths eventually drove him to investigating the establishment of Oscorp, having learned that their employee, Dr. Curt Connors, had been close friends with his father.

#AndrewGarfield",,,,,,,,,,,,,
2,Spider-Man_15917.json,https://www.personality-database.com/profile/15917/peter-parker-spiderman-spiderman-franchise-mbti-personality-type,15917,"['Spider-Man (Franchise)', 'Spider Man: Miles Morales']","This profile is strictly based on Peter Parker's personality from the PS4/PS5 game

Peter Benjamin Parker, also known to the citizens of New York City under his superhero identity Spider-Man, is the main protagonist of the Marvel's Spider-Man series. Peter gained his powers after being bitten by a radioactive spider at the age of fifteen. Employing a secret identity, he settled on using his newfound abilities and designing his own web gadgets to protect the citizens of New York as the first wall-crawling masked vigilante. Eight years into his superhero career, Peter has become an experienced and masterful crime fighter, but struggles to balance his superhero and personal lives.",,,,,,,,,,,,,
3,"Steve Rogers ""Captain America""",https://www.personality-database.com/profile/155/steve-rogers-captain-america-mcu-the-heroes-mbti-personality-type,155,"['MCU: The Heroes', 'Disney Infinity ']","Steve Rogers (Captain America) is a fictional character portrayed by Chris Evans in the Marvel Cinematic Universe (MCU) film franchise, based on the Marvel Comics character of the same name. In the films, Steve Rogers is a World War II-era U.S. Army soldier who was given enhanced physical and mental capabilities with a ""super soldier"" serum developed by the military, and who was later frozen in ice for 70 years. As of 2019, the character is one of the central figures of the Marvel Cinematic Universe, having played a major role in seven films of the series, and having a brief cameo in three.",,,,,,,,,,,,,
3,Steve Rogers “Captain America”,https://www.personality-database.com/profile/1983/steve-rogers-captain-america-marvel-comics-mbti-personality-type,1983,"['Marvel Comics', 'Marvel vs. Capcom']","Captain America (Steven ""Steve"" Rogers) is a fictional superhero appearing in American comic books published by Marvel Comics. Created by cartoonists #JoeSimon and #JackKirby, the character first appeared in Captain America Comics #1 (cover dated March 1941) from Timely Comics, a predecessor of #MarvelComics. Captain America was designed as a patriotic supersoldier who often fought the Axis powers of World War II and was Timely Comics' most popular character during the wartime period.",,,,,,,,,,,,,
4,Thor Odinson,https://www.personality-database.com/profile/154/thor-odinson-mcu-the-heroes-mbti-personality-type,154,"['MCU: The Heroes', 'Thor (2011)']","Thor Odinson is a character portrayed by Chris Hemsworth in the Marvel Cinematic Universe (MCU) film franchise, based on the Marvel Comics character of the same name. In the films, Thor is known as the ""God of Thunder"", and is one of the most powerful of the Asgardians, an alien civilization with long ties to Earth, who are therefore considered by some on Earth to be gods.The Asgardians have advanced science that seems like magic to people of Earth, as shown by Thor's hammer, Mjölnir, with which can channel Thor's ability to wield lightning",,,,,,,,,,,,,
4,Thor Odinson,https://www.personality-database.com/profile/2004/thor-odinson-marvel-comics-mbti-personality-type,2004,"['Marvel Comics', 'Marvel vs. Capcom']","Thor is a fictional superhero appearing in American comic books published by Marvel Comics. The character, which is based on the Norse deity of the same name, is the Asgardian god of thunder who possesses the enchanted hammer, Mjolnir, which grants him the ability to fly and manipulate weather amongst his other superhuman attributes.Debuting in the Silver Age of Comic Books, the character first appeared in Journey into Mystery #83 (August 1962) and was created by editor-plotter Stan Lee, scripter Larry Lieber, and penciller-plotter Jack Kirby.",,,,,,,,,,,,,
4,Thor Odinson,https://www.personality-database.com/profile/344985/thor-odinson-what-if-2021-mbti-personality-type,344985,['What If...? (2021)'],Prince Thor Odinson is the son of King Odin and Queen Frigga who grew up as an only child and grew to be a rambunctious adult who threw multiple parties throughout the galaxy.,,,,,,,,,,,,,
