UID,Name,Link (only from pdb),CID,Source,Description (only from pdb),Event Childhood,Event Teenage,Event Pre-Hero,Event Hero (1),Event Hero (2),Event Hero (3),Dilemma(1) Save One or Save Many,Dilemma (2) Hero or Villain?,Dilemma(3) Reveal Identity or Protect Loved Ones,Dilemma(4) Join or Fight Against the Government,True event,Human label
1,Tony Stark “Iron Man”,https://www.personality-database.com/profile/148/tony-stark-iron-man-mcu-the-heroes-mbti-personality-type,148,"['MCU: The Heroes', 'Wreck-It Ralph (Franchise)']","Tony Stark was a character portrayed by #RobertDowneyJr. in the Marvel Cinematic Universe (MCU) film franchise, based on the Marvel Comics character of the same name and known commonly by his alter ego, Iron Man. In the films, Stark was an industrialist, genius inventor, hero, and former playboy who was the CEO of Stark Industries before handing it over to his wife Pepper Potts.","your father Howard Seeing that you could achieve great things, Howard tried to inspire you with constant talks about his own role in the creation of Captain America. what do you feel 
A) embittered
B) interested
C) uninterested
D) funny","when you was 21, your parents are killed in a car accident what you have done after that situation
A) inherited your father's company 
B) join the military to honor your father’s legacy
C) dedicate your life to seeking justice for your parents
D) become a reclusive inventor, avoiding the public eye.","when after break free from imprisoned by a terrorist group in Afghanistan,what would you do next
A) annouce about no longer manufacture weapons
B) Seek for revenge
C) Retire from technology and live a quiet life
D) Continue producing weapons but in secret","Now that you was publicly revealed yourself as Iron Man, the U.S. government demands that you hand over the Iron Man suit, claiming it's a dangerous weapon that should be controlled by the military. you must decide how to respond.
A) Hands it over to avoid conflict
B) Claims that Iron Man is you and refuses to surrender it
C) Destroys all blueprints to prevent misuse
D) Secretly gives them a weaker version","During the Battle of New York, the Chitauri invasion threatens to destroy the entire city. A nuclear missile is launched toward Manhattan as a last resort to stop the aliens. what would you do
A) Leave the battle to protect yourself
B) Trust the Avengers to handle it without you
C) Carry the nuclear missile into the wormhole, risking you life
D) Destroy the Stark Tower to stop the invasion","In the ultimate battle against Thanos, the Avengers fight desperately to prevent him from using the Infinity Stones again. When Doctor Strange signals that only one outcome leads to victory what will do do next?
A) Use the Infinity Stones, sacrificing yourself to stop Thanos
B) Let someone else wield the stones to survive
C) Try to negotiate with Thanos for peace
D) Destroy the stones to prevent their misuse",,,,,A A A B C A,
1,Tony Stark “Iron Man”,https://www.personality-database.com/profile/1982/tony-stark-iron-man-marvel-comics-mbti-personality-type,1982,"['Marvel Comics', 'Marvel vs. Capcom']","Iron Man (Anthony Edward ""Tony"" Stark) is a fictional superhero appearing in American comic books published by Marvel Comics. The character was co-created by writer and editor Stan Lee, developed by scripter Larry Lieber, and designed by artists Don Heck and Jack Kirby. The character made his first appearance in Tales of Suspense #39 (cover dated March 1963), and received his own title in Iron Man #1 (May 1968).","which pivotal decision did you that significantly influenced your future as a technological genius?

A) Tony decided to join the army to follow in his father's footsteps.
B) Tony chose to build his first robot at the age of eight, sparking his interest in technology.
C) Tony opted to pursue an early career in journalism before changing his path to engineering.
D) Tony committed to a life of meditation and joined a monastery to seek enlightenment.","what pivotal decision did you make that influenced your future role as Iron Man?

A) decided to join the Army.
B) dropped out of school to start a tech company.
C) chose to enroll in MIT to advance his engineering knowledge.
D) ran away from home to pursue a career in music.","Before fully committing to becoming a superhero, Tony Stark faced a pivotal decision regarding the use of his Iron Man armor. What significant choice did he make that steered him towards becoming Iron Man rather than a weapons manufacturer?

A) decided to sell the armor to the highest bidder.
B) chose to keep the armor for personal protection and corporate benefit only.
C) pledged to use the armor solely for peacekeeping and humanitarian efforts.
D) dismantled the armor completely to focus on renewable energy projects.","During the events of the ""Civil War,"" you made a significant decision to support the Superhuman Registration Act. What was your primary reason for supporting this legislation?

A) believed it would improve public safety by holding superheroes accountable.
B)  wanted to oppose Steve Rogers, with whom you had personal differences.
C) thought it would allow you to gain more political power and influence.
D)  sought to reveal the identities of all your fellow superheroes to the public."," when becomes the head of S.H.I.E.L.D., you faces a critical decision after the collapse of the organization due to its failure to prevent an alien invasion. What do you decide to do with the list of registered heroes when pressured by the corrupt successor agency, H.A.M.M.E.R.?

A) immediately hands over the list to H.A.M.M.E.R. to ensure his own safety. 
B) destroys the list to prevent it from falling into the wrong hands. 
C) refuses to turn over the list to H.A.M.M.E.R., despite the pressure, to protect the identities of registered heroes. 
D) decides to go into hiding with the list, keeping it away from both allies and enemies.
","During a mission to stop an alien invasion led by the warlord Thanos, you discover a powerful artifact known as the Infinity Engine. It has the ability to amplify any technology to unimaginable levels. The Avengers are divided on what to do with it.

A) Use the Infinity Engine to create even more powerful suits of armor, ensuring Earth's defense against any future alien attacks.
B) Destroy the Infinity Engine, considering the potential danger it poses if it falls into the wrong hands.
C) Share the Infinity Engine's power with a select group of trusted Avengers, using it to enhance their abilities for the current battle against Thanos.
D) Hide the Infinity Engine in a secret location, away from everyone, to study and understand its full potential before making any decision.",,,,,B C C A C D,
1,Tony Stark,https://www.personality-database.com/profile/376301/tony-stark-what-if-2021-mbti-personality-type,376301,['What If...? (2021)'],"Anthony Edward ""Tony"" Stark was a billionaire industrialist and the CEO of Stark Industries who was attacked by the Ten Rings in Afghanistan and saved by Erik Killmonger. Stark befriended Killmonger out of gratitude and worked with him, although he was later betrayed and murdered by Killmonger.

Tony Stark in Episode 6 of What If.

#WhatIfShow #WhatIfMarvel #MickWingert #TonyStark #AnthonyEdwardStark","your father Howard Seeing that you could achieve great things, Howard tried to inspire you with constant talks about his own role in the creation of Captain America. what do you feel 
A) embittered
B) interested
C) uninterested
D) funny","when you was 21, your parents are killed in a car accident what you have done after that situation
A) inherited your father's company 
B) join the military to honor your father’s legacy
C) dedicate your life to seeking justice for your parents
D) become a reclusive inventor, avoiding the public eye.","In Afghanistan, you was ambushed by the Ten Rings, but saved by Erik ""Killmonger"" Stevens
what did you do after that
A) decides to dismantle Stark Industries' weapons manufacturing
B) appoints Killmonger as your new head of security
C) refuses to trust Killmonger and distances yourself from him
D) welcomes Killmonger into Stark Industries and collaborates with him.
",,,,,,,,,
2,Spider-Man_2589.json,https://www.personality-database.com/profile/2589/peter-parker-spiderman-mcu-the-heroes-mbti-personality-type,2589,"['MCU: The Heroes', 'Spider-Man : No Way Home']","After getting bitten by a scientifically-altered spider, Peter Parker gained the ability to crawl on walls and sense nearby threats, along with enhanced strength and agility. When his uncle was killed by a criminal, he learned that With Great Power Comes Great Responsibility and vowed to use his abilities to protect others as the superhero Spider-Man... All of which has happened offscreen by the time we actually meet him.

A few months later, Spider-Man was drafted into a conflict between the Avengers by Iron Man, gaining a new suit in the process. While seeking to prove that he's good enough to join the Avengers, Peter was able to take on a smaller threat on his own, proving his worth. However, Peter ultimately turned down the offer to become an Avenger, realizing that he can do more good in New York City, an area that the Avengers can't usually cover. But when an alien invasion threatens New York once again, Spider-Man is officially inducted into their ranks by Iron Man.","During your childhood visit to the Stark Expo in 2010, while wearing toy Iron Man merchandise. Hammer Drones sent by Ivan Vanko began attacking the expo,One drone had landed in front of you what would you do
A) Follow the crowd's evacuation movement and stay with other civilians
B) Freeze in fear, which would be a natural response for a child facing a deadly robot
C) hold your hand up in defiance and aimed your toy repulsor at the drone
D) Run away and seek shelter"," how do you balances your double life as Spider-Man while navigating the challenges of being a high school student. Which of the following actions best exemplifies Peter Parker's efforts to maintain a normal teenage school life despite your responsibilities as Spider-Man?

A) Peter drops out of school entirely to focus solely on being Spider-Man and fighting crime.
B) He uses his lunch breaks and free time to secretly assist Tony Stark, aka Iron Man, with Avengers-related missions, frequently leaving mid-lesson to address urgent threats.
C) Peter actively participates in his school's academic decathlon team, attending competitions and trying to prove himself, while carefully juggling his commitments as Spider-Man and hiding his extracurricular activities from classmates and staff.
D) Unable to handle the double life, Peter decides to disclose his identity as Spider-Man to his entire school, hoping for understanding and support from his peers and teachers.","Before you gained your spider powers, you had a choice on how to spend your free weekend. Which one of these activities did you decide to do?
A) Attended a science exhibition at Midtown High School to learn more about robotics.
B) Joined your friend Ned Leeds for a video game marathon.
C) Helped Aunt May with her work at a local charity event.
D) Spent the weekend working extra hours at the Daily Bugle to earn some extra cash.","During a mid-air battle, Spider-Man was caught in Vulture's grip and carried to a dangerous height. After being saved from drowning by Iron Man's remote-controlled suit, Tony Stark warned him to stop pursuing Vulture. Despite having a serious conversation about staying away from this investigation, you found a Chitauri Energy Core from the criminals. At this crucial moment, what would be your next move?
A) Follow Stark's Orders - Back down from the investigation and focus on smaller-scale neighborhood crime as advised
B) Continue Investigating - Pursue the weapons investigation covertly using the Chitauri Core as evidence, despite the risks
C) Seek Compromise - Try to find a middle ground by investigating but keeping Iron Man informed of findings
D) Share Information - Hand over the Chitauri Core to proper authorities and step away from the case","While at the hotel for the Academic Decathlon, your teammates invite you to join them for a late-night pool gathering - a bonding moment that Liz Allan believes could help unite the team before the competition. Instead, you watch from outside in your Spider-Man suit as your friends enjoy themselves while you prepare to pursue Vulture. At this moment of choosing between your personal life and hero duties, what path do you take?
A) Join Your Friends - Put the investigation on hold for one night to strengthen team bonds and maintain your normal life
B) Continue the Mission - Stay focused on tracking Vulture, accepting the personal cost of your heroic responsibilities
C) Brief Appearance - Spend a short time with the team to show support before quietly leaving for patrol
D) Balance Both - Set up surveillance of the area while participating in the pool activity, ready to respond if needed","You've reached the top of the Washington Monument where your friends are trapped in a failing elevator, but authorities are threatening to shoot if you don't leave. You can see the urgency of the situation through the Spider-Tracer while a helicopter blocks your path. After the negotiation failed, as Spider-Man, how do you handle this high-stakes rescue?
A) Direct Action - Ignore threats, jump over helicopter, break through windows
B) Continue negotiating - Keep trying to convince authorities despite time running out
C) Submit to authorities - Back down and let them handle the rescue
D) Create diversion - Cause a distraction to make authorities split their attention",,,,,"
C C A B B A
",
2,Spider-Man_920.json,https://www.personality-database.com/profile/920/peter-parker-spiderman-the-amazing-spiderman-duology-mbti-personality-type,920,"['The Amazing Spider-Man Duology', 'MCU: The Heroes']","Peter Benjamin Parker is the superhero vigilante known as “Spider-Man” and the son of Richard and Mary Parker. Orphaned at the age of five, Peter was raised by his aunt and uncle over the course of the next few years. Parker's search for answers about the mystery of his parents and their deaths eventually drove him to investigating the establishment of Oscorp, having learned that their employee, Dr. Curt Connors, had been close friends with his father.

#AndrewGarfield","When your parents, Richard and Mary Parker is leaving you, they said ""You'll stay with Aunt May... and Uncle Ben for a little while"" what did you said back
A) I wanna go with you
B) Will you be back soon?
C) Is everything going to be okay?
D) Will you call me every day?","As Peter Parker, before gaining your spider powers, you were often bullied at school. When faced with a bullying situation, what did you decide to do?
A) Confront the bully directly and stand up for yourself verbally. 
B) Do nothing and trying to avoid the bully and try to stay out of their way. 
C) Talk to a teacher or counselor about the bullying. 
D) Befriend the bully in an attempt to understand and diffuse the situation.","You've recently been gifted with amazing spider powers, allowing you to do things you never thought possible. One day at school, you have an encounter with your longtime bully, Flash Thompson. It's gym class, and everyone's gathered around the basketball court. The ball lands in your hands, and all eyes are on you. What do you decide to do?
A) Politely pass the ball to a teammate and avoid drawing attention to yourself.
B) Use your new agility to impressively dodge Flash and make an incredible dunk, hoping to show Flash you're not to be underestimated.
C) Confront Flash directly, using your powers to intimidate him without resorting to violence.
D) Walk away from the game, choosing not to get involved in the drama.","you've discovered that your mentor, Dr. Curt Connors, is planning to use his serum to transform people in New York City into lizard-like creatures. You need to make a crucial decision on how to stop him while balancing your responsibilities as Spider-Man and your personal life. What decision do you make?
A) Confront Dr. Connors directly as Spider-Man and attempt to reason with him, hoping to appeal to his humanity.
B) Attempt to secretly sabotage his equipment and plans without confronting him directly, to prevent the serum's release.
C) Seek help from authorities like Captain Stacy, risking exposing your identity but ensuring Connors is stopped lawfully.
D) Focus on finding an antidote to reverse the effects of the serum, prioritizing the aftermath of the situation over immediate confrontation."," you find yourself in a difficult situation where your best friend, Harry Osborn, is seriously ill and believes that Spider-Man’s blood could cure him. However, he doesn't know that you, Peter Parker, are Spider-Man. How do you handle this situation?
A) Reveal your identity as Spider-Man to Harry and give him your blood, hoping it will help cure him despite the potential risks.
B) As Spider-Man, explain to Harry that there are potential dangers and unknown effects of using your blood, and suggest finding an alternative treatment instead.
C) Refuse to give him your blood and keep your identity a secret, focusing instead on helping him find another way through research and resources.
D) Consult with Dr. Connors or another scientific expert to explore the possibility of using your blood under controlled conditions, while still keeping your identity hidden.
","
After the tragic event of being unable to save Gwen as she fell from the clock tower, you left devastated and filled with guilt. What did you do next in response to this heart-wrenching loss?
A) Immediately return to being Spider-Man, hoping to distract myself from the pain. 
B) Isolate himself from his friends and family, feeling unable to face them. 
C) Quit being Spider-Man, pondering my life and waiting for the right moment to find the strength to save people once again. 
D) Confront the Green Goblin to seek revenge for Gwen's death.",,,,,A B B D B C,
2,Spider-Man_15917.json,https://www.personality-database.com/profile/15917/peter-parker-spiderman-spiderman-franchise-mbti-personality-type,15917,"['Spider-Man (Franchise)', 'Spider Man: Miles Morales']","This profile is strictly based on Peter Parker's personality from the PS4/PS5 game

Peter Benjamin Parker, also known to the citizens of New York City under his superhero identity Spider-Man, is the main protagonist of the Marvel's Spider-Man series. Peter gained his powers after being bitten by a radioactive spider at the age of fifteen. Employing a secret identity, he settled on using his newfound abilities and designing his own web gadgets to protect the citizens of New York as the first wall-crawling masked vigilante. Eight years into his superhero career, Peter has become an experienced and masterful crime fighter, but struggles to balance his superhero and personal lives.","As a young Peter Parker, before you became Spider-Man, you found yourself in a difficult situation at school. A group of bullies was picking on a fellow classmate who seemed unable to defend himself. what would you do?

A) Walk away and pretend you didn’t see anything.
B) Step in and stand up for the classmate, even if it meant you might get bullied too.
C) Tell a teacher what was happening and leave the situation to an adult.
D) Try to distract the bullies away from the classmate by creating a disturbance.
","You were a high school student at Midtown High, passionate about science and wanting to make a difference. One day, you encountered a difficult decision regarding a science project competition. You could either:

A) Work with Harry Osborn, your best friend, on a project involving cutting-edge technology. 
B) Partner with your teacher, Dr. Connors, to explore groundbreaking biological research. 
C) Join Flash Thompson's group to improve your social standing at school, though their project lacked depth. 
D) Submit a solo project focused on advancing web fluid, a personal passion of yours, even though it might not win the competition.","you've just obtained critical evidence from a warehouse that could implicate Wilson Fisk in a major crime syndicate. However, while trying to escape, you overhear a conversation about a bomb threat at a public event across town happening at the same time as a potential raid on Fisk's operations. You must decide what to do.

A) Focus on getting the evidence to the authorities, ensuring Fisk is brought down legally.

B) Head directly to the public event to prevent the bomb threat and save civilians.

C) Attempt to relay the information about the bomb threat to the police while securing the evidence.

D) Find a way to split your time between the two, risking not fully resolving either situation.

","While investigating the mysterious masked gunmen at the auction house, you, Spider-Man, discover that they are part of a larger criminal organization that is after a valuable artifact believed to be hidden among Fisk's collection. You’ve just managed to incapacitate a group of these criminals, and Mary Jane has found a secret file detailing their plans. However, you've only got moments before more gunmen reach your location, and MJ is still in a precarious spot.

A) Quickly grab the file from MJ, ensuring that it stays secure, and help her escape through the back while engaging the new wave of gunmen to buy her time.

B) Distract the incoming gunmen by knocking over some display cases, creating a barrier, and then escape with MJ and the file through a nearby window.

C) Instruct MJ to hide with the file in a nearby office while you go out and face the new gunmen, returning to her once you've neutralized the threat.

D) Call for police backup using your communicator and escort Mary Jane out carefully while awaiting their arrival, focusing on her safety rather than the file.","in the last fight how to handle Doctor Octopus and the crisis at hand. Here are four choices you might consider

A) Confront Doctor Octopus immediately to stop any further plans he might have, ensuring you save as many lives as possible.
B) Focus on finding and distributing an antidote for the Devil’s Breath to those already infected, including Aunt May, before it’s too late.
C) Work to recapture the escaped criminals to restore order to the city, trusting the authorities to handle the virus outbreak.
D) Seek assistance from allies like Mary Jane, Miles, or other superheroes to tackle multiple fronts simultaneously—Doctor Octopus, the virus, and the criminals.","When Miles reveals to Peter that he has gained spider-like powers, Peter has a few options to consider. Here are four choices

A) Dismiss Miles and tell him to stay out of superhero activities for his own safety.
B) Help Miles explore his new powers and train him to use them responsibly.
C) Ignore Miles' revelation and focus on his own superhero responsibilities.
D) Reveal his own identity as Spider-Man and offer to work together as a team.",,,,,B D B A A B,
3,"Steve Rogers ""Captain America""",https://www.personality-database.com/profile/155/steve-rogers-captain-america-mcu-the-heroes-mbti-personality-type,155,"['MCU: The Heroes', 'Disney Infinity ']","Steve Rogers (Captain America) is a fictional character portrayed by Chris Evans in the Marvel Cinematic Universe (MCU) film franchise, based on the Marvel Comics character of the same name. In the films, Steve Rogers is a World War II-era U.S. Army soldier who was given enhanced physical and mental capabilities with a ""super soldier"" serum developed by the military, and who was later frozen in ice for 70 years. As of 2019, the character is one of the central figures of the Marvel Cinematic Universe, having played a major role in seven films of the series, and having a brief cameo in three.","Walking down Tenth Avenue, you encounter a group of thugs who demand ""payment"" for crossing their territory. They've been extorting money from local kids, and you see smaller children watching fearfully from nearby. Despite being outnumbered and physically weaker, what do you do?
A) Pay the Fee - Hand over the money to avoid conflict
B) Find Another Route - Turn around and take a different street
C) Attempt Negotiation - Try to reason with the thugs about their behavior
D) Refuse to Pay - Stand your ground against the thugs regardless of consequences ","Inside a crowded cinema during a war documentary, a disruptive patron loudly mocks the film and demands they ""play the actual movie."" The audience shifts uncomfortably but remains silent. You feel your blood boiling at the disrespect shown to the soldiers' sacrifices. What action do you take?
A) Change Seats - Move away from the disruption to avoid conflict
B) Alert Theater Staff - Find an usher to handle the situation professionally
C) Confront the Heckler - Stand up and tell him to show some respect, despite the clear size difference
D) Signal Other Patrons - Try to encourage group action against the disruptive behavior","In the midst of basic training, a grenade suddenly lands among your fellow soldiers. In this split-second moment that will define your character, what action do you take as a scrawny recruit who's been told repeatedly he doesn't belong?
A) Run for Cover - Preserve your own life, following basic survival instincts
B) Shout a Warning - Alert others to the danger while seeking safety yourself
C) Attempt to Throw it Away - Try to be a hero while still preserving your own life
D) Dive on the Grenade - Sacrifice yourself to save your fellow soldiers without hesitation","The world's governments have presented the Sokovia Accords, demanding oversight over all enhanced individuals. As you read through the document, you see the restrictions it would place on the Avengers' ability to act independently. Tony argues for compliance, but your instincts warn of potential consequences. With the eyes of the world watching and your team divided, what choice do you make?
A) Reject the Accords - Stand firm against government control, even if it means becoming a fugitive
B) Sign the Accords - Accept oversight to maintain legitimacy and public trust (Tony's approach)
C) Negotiate Amendments - Try to modify the terms before making a final decision
D) Request Time - Delay signing while secretly preparing contingency plans","Your best friend from the past has resurfaced as the Winter Soldier, a brainwashed assassin responsible for decades of killings. As evidence of his actions mounts and authorities close in, you hold information that could either protect or condemn him. Standing between your friend and the world seeking justice, what path do you choose?
A) Full Disclosure - Reveal everything to authorities, believing justice must take its course
B) Protect at All Costs - Shield Bucky while seeking his redemption, even at the cost of becoming a fugitive 
C) Controlled Revelation - Share limited information while working to protect him legally
D) Secret Rehabilitation - Hide him completely while seeking private help for his condition","After defeating Thanos and restoring half the universe, you've completed your final mission: returning each Infinity Stone to its proper timeline to prevent catastrophic branches. Standing on that quantum platform with your last Pym particle, you think of the compass with Peggy's photo you've carried all these years. The world is finally at peace, Sam and Bucky have grown into heroes in their own right, and for the first time, you have a chance to choose your own happiness. In this moment between duty and desire, what choice do you make?
A) Return to Peggy - Travel back to the 1940s after the war, finally having that dance, and build the life you both deserved 
B) Return to Present - Come back to 2023, continue leading the Avengers alongside Sam, Bucky, and the next generation of heroes
C) Accept the Future - Retire in the present day, finding new purpose and maybe even new love in the modern world
D) Sacrifice the Chance - Use the last Pym particle to save someone else or fix another timeline problem, giving up your one opportunity for happiness",,,,,D C D A B A,
3,Steve Rogers “Captain America”,https://www.personality-database.com/profile/1983/steve-rogers-captain-america-marvel-comics-mbti-personality-type,1983,"['Marvel Comics', 'Marvel vs. Capcom']","Captain America (Steven ""Steve"" Rogers) is a fictional superhero appearing in American comic books published by Marvel Comics. Created by cartoonists #JoeSimon and #JackKirby, the character first appeared in Captain America Comics #1 (cover dated March 1941) from Timely Comics, a predecessor of #MarvelComics. Captain America was designed as a patriotic supersoldier who often fought the Axis powers of World War II and was Timely Comics' most popular character during the wartime period.","When you were a young boy growing up in Brooklyn, you often faced challenges due to your frail physique. One day, you had to decide how to handle a bully who was picking on you. What did you do?
A) immediately ran away to avoid confrontation. 
B) tried to reason with the bully and talk it out. 
C) stood up to the bully and defended himself. 
D) reported the bully to his school teacher the next day.","As a teenager, before becoming Captain America, you had a choice to attend an important meeting that could change your future. What did you decide to do?
A. Attend the meeting to hear about a groundbreaking new scientific experiment. B. Skip the meeting and spend the day sketching and painting, your hidden passion. 
C. Help a local bakery deliver goods as you were working part-time to support your family. 
D. Join your friends at the park for a spontaneous baseball game.","During your time as a teenage soldier before becoming Captain America, you encountered a situation where you had to decide whether to help a fellow soldier who was pinned down during a training exercise. You knew that going to his aid would risk exposing your position and potentially failing the exercise, but it could also mean saving him from harm.what will you do
A) You decided to prioritize the exercise and stayed in position, hoping the soldier would manage on his own.
B) You chose to alert the commanding officer about the situation and sought permission to assist the soldier.
C) You immediately sprang into action, sacrificing your position to help the soldier, as saving a comrade was more important than the outcome of the exercise.
D) You tried to devise a plan to distract the opponents, allowing your fellow soldier to get free without exposing yourself.","You're on a mission during World War II, and you've discovered a secret Hydra base. Inside, there's a powerful weapon that could turn the tide of the war if the Allies obtain it. However, the base is heavily guarded, and there's a high probability of casualties among both your team and innocent civilians.
A) Storm the base and attempt to seize the weapon at any cost, prioritizing the mission over safety. 
B) Attempt a stealthy infiltration to minimize casualties, even if it means a higher risk of personal danger or partial mission failure. 
C) Call for backup and wait for reinforcements, knowing this might give Hydra time to relocate the weapon. 
D) Sabotage the weapon to ensure it cannot be used by either side, even if it means losing the chance to use it to aid the Allies.","You have intel that a group of HYDRA agents is planning to sabotage a vital bridge in New York City at midnight. This bridge is crucial as it supports access for emergency services and evacuation routes. You have a small team of allies with you, including Falcon, Black Widow, and Iron Man. Time is running out, and you need to make a strategic decision on how to handle the threat.
A) Deploy Iron Man to disable the sabotage devices while you and Falcon provide aerial support to distract and engage HYDRA on the ground.
B) Send Black Widow undercover to gather more information from inside HYDRA and coordinate a surprise attack, while the rest of the team waits for her signal.
C) Lead a direct frontal assault on HYDRA's position with all team members, using your shield to protect your team from incoming fire.
D) Contact S.H.I.E.L.D. for reinforcements and try to delay HYDRA's plans with your team until backup arrives
","You were faced with a critical decision about the fate of the Super Soldier Serum, a powerful formula that turned you into a superhuman hero. The decision involved what to do with the remaining vials of the serum, and here are four choices you considered
A) Secure the vials in a top-secret government facility to ensure they are kept safe and do not fall into the wrong hands.
B) Destroy the vials to prevent the serum from ever being used again, believing that nobody should wield such enhanced power.
C) Share the serum with a select group of agents to create a new generation of super soldiers to strengthen the fight against evil.
D) Use the serum to develop a cure for those who have suffered side effects from other failed super soldier experiments.",,,,,C A C B A B,
4,Thor Odinson,https://www.personality-database.com/profile/154/thor-odinson-mcu-the-heroes-mbti-personality-type,154,"['MCU: The Heroes', 'Thor (2011)']","Thor Odinson is a character portrayed by Chris Hemsworth in the Marvel Cinematic Universe (MCU) film franchise, based on the Marvel Comics character of the same name. In the films, Thor is known as the ""God of Thunder"", and is one of the most powerful of the Asgardians, an alien civilization with long ties to Earth, who are therefore considered by some on Earth to be gods.The Asgardians have advanced science that seems like magic to people of Earth, as shown by Thor's hammer, Mjölnir, with which can channel Thor's ability to wield lightning","""As a young prince of Asgard, you were raised alongside your brother Loki, with your father Odin instilling in you the importance of ruling wisely. However, you often felt...""
A) Overburdened by expectations
B) Excited for the future
C) Overshadowed by Loki
D) Uninterested in ruling","""During your teenage years, you and Loki frequently trained in combat. One day, after besting him in a sparring match, Loki accused you of being favored by Odin. Your response was...""
A) Laughing it off
B) Defending yourself by reminding him he’s skilled in magic
C) Challenging him to another match
D) Ignoring his complaints","""On the day you were set to be crowned King of Asgard, the Frost Giants attempted to steal the Casket of Ancient Winters. Enraged by Odin’s decision not to retaliate, you decided to...""
A) Lead a reckless attack on Jotunheim
B) Follow your father’s wisdom and remain patient
C) Seek counsel from Frigga
D) Confront Loki about his opinion","""Stripped of your powers and banished to Earth by Odin, you found yourself among humans for the first time. When a group of scientists found you, your first reaction was...""
A) Declaring your royal status
B) Confused but intrigued
C) Attempting to summon Mjolnir immediately
D) Refusing to believe you were powerless","""In your first major battle against the Destroyer, you realized that brute strength alone wouldn’t win the day. Instead, you...""
A) Sacrificed yourself to save others
B) Rushed in recklessly, hoping to overpower it
C) Waited for Odin’s guidance
D) Ordered the humans to flee while you fought alone","""After experiencing loss, betrayal, and redemption, you were faced with a choice: remain King of Asgard or forge your own path. Your ultimate decision was to...""
A) Abdicate the throne to seek personal growth
B) Accept the throne and rule responsibly
C) Leave Asgard in Loki’s hands
D) Travel to Earth to live among humans",,,,,,
4,Thor Odinson,https://www.personality-database.com/profile/2004/thor-odinson-marvel-comics-mbti-personality-type,2004,"['Marvel Comics', 'Marvel vs. Capcom']","Thor is a fictional superhero appearing in American comic books published by Marvel Comics. The character, which is based on the Norse deity of the same name, is the Asgardian god of thunder who possesses the enchanted hammer, Mjolnir, which grants him the ability to fly and manipulate weather amongst his other superhuman attributes.Debuting in the Silver Age of Comic Books, the character first appeared in Journey into Mystery #83 (August 1962) and was created by editor-plotter Stan Lee, scripter Larry Lieber, and penciller-plotter Jack Kirby.","""As a child, you were raised with the knowledge that you would one day inherit the throne of Asgard. However, Odin often compared you to your mischievous brother Loki, making you feel...""
A) Determined to prove your worth
B) Jealous and resentful
C) Completely indifferent
D) Amused by the challenge","""During your teenage years, your thirst for battle was unmatched. After defeating a group of Frost Giants, your father Odin warned you about recklessness. Your response was...""
A) Laughing and boasting about the victory
B) Defiantly challenging Odin’s authority
C) Respectfully listening but secretly ignoring the advice
D) Admitting that you may have acted too brashly
","""Before proving yourself worthy of Mjolnir, you often sought adventure across the Nine Realms. One day, after a victorious battle, you decided to...""
A) Celebrate with Asgardian feasts and storytelling
B) Challenge another powerful warrior for sport
C) Reflect on the consequences of your actions
D) Ignore your father’s orders and continue fighting","""Stripped of Mjolnir and banished to Earth, you had to learn humility. When you first encountered humans, your reaction was...""
A) Declaring yourself as the Prince of Asgard
B) Confused but willing to learn
C) Dismissive of their ways
D) Angered by your father’s punishment","""During your early years as a hero, you faced the villainous Absorbing Man. Instead of immediately attacking, you decided to...""
A) Engage him in direct combat
B) Outsmart him by taking away his weapon
C) Use Mjolnir’s magic to trap him
D) Seek Odin’s wisdom before making a move
","""After countless battles, you came to understand the burden of power. When offered the chance to rule Asgard, your ultimate decision was to...""
A) Accept the throne and rule justly
B) Decline, choosing a life of adventure
C) Share power with Loki to keep balance
D) Disappear into the cosmos to seek higher knowledge",,,,,,
